,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Graph Number,,,,,,,,,,,,,,,,,,
16,0.25807991945007747,0.0,0.4335615660783498,0.4791959854800741,0.4715917994184315,0.42706159359998136,0.04260838035157621,0.0,0.10856368654678668,67.0,67.0,0.0,623700.0,623700.0,0.0,3.0,3.0,0.0
17,0.19631750892596833,0.0,0.39337932360231886,0.4763170030342328,0.45066137060307393,0.42346091235522654,0.06266062030186297,0.0004132120867475183,0.12897350611250286,59.0,59.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
18,0.2666953146616868,0.0,0.438331479928649,0.481783865839889,0.45549203149925255,0.43264767555736405,0.04047015508609719,0.0,0.10616353116833296,59.0,59.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
19,0.2765911254457028,0.0,0.4437882963021749,0.4539270689731488,0.3465991892063619,0.4389175834950289,0.04451845825685026,0.0,0.1220183255350365,56.0,56.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
20,0.23761122235948098,0.0,0.4211305419025063,0.5399476325347998,0.6435558264378772,0.41550923953920116,0.09774380057970403,0.0013272172944785534,0.17319851743456938,66.0,66.0,0.0,613800.0,613800.0,0.0,3.0,3.0,0.0
21,0.2664580310407942,0.0,0.4387667709859897,0.41706998158361713,0.18526174192752326,0.4377988577719878,0.04087216724381048,0.0,0.10754164466040783,67.0,67.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
22,0.21705840136165314,0.0,0.4082636205788208,0.5035625937764665,0.5383598102651215,0.4232651774870133,0.05832370443974981,0.0025073592130021483,0.12152903644079102,60.0,60.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
23,0.2872414797570481,0.0,0.44833873458025836,0.4608978020945466,0.32429785102475794,0.4493704228400142,0.033174358924995054,0.0,0.10903374137070215,64.0,64.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
24,0.2859671530205969,0.0,0.4485010994006549,0.4502420335302088,0.206509444992527,0.45181807850427125,0.039349415841352084,0.0,0.11129571632498679,61.0,61.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
25,0.22692286263919823,0.0,0.4148912174587582,0.5366140018928114,0.6559276701174059,0.4215562913053328,0.1006078384306634,0.002167833323975816,0.17873209148702932,61.0,61.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
26,0.24714049775939367,0.0,0.42737021609706966,0.4722915889529388,0.39543962713387937,0.44475057090311076,0.046923761179949196,0.0,0.12988402977060706,63.0,63.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
27,0.2371056813914793,0.0,0.42164023663603767,0.5477939039447879,0.7142851185599124,0.426790447721187,0.103931520117826,0.00089249888568606,0.18020097596937884,63.0,63.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
28,0.27691621075263734,0.0,0.4435783355798256,0.46836179503742026,0.46504602473081147,0.44724562141917074,0.06385707538292873,0.0,0.15539091763073504,61.0,61.0,0.0,613800.0,613800.0,0.0,2.0,2.0,0.0
29,0.24741108972084605,0.0,0.4275738320489454,0.5042100750036472,0.5875624723702021,0.4425035621161484,0.07135956237995751,0.0,0.1641640739974751,53.0,53.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
30,0.23700967973956916,0.0,0.42134672275347196,0.5379420477438752,0.6695429508971027,0.4243646268735901,0.07332751696975862,0.0,0.13910441833797216,58.0,58.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
31,0.28574839585763484,0.0,0.448758247886475,0.5185008253599531,0.6334232450361296,0.4428709376372291,0.06711875641781971,0.0,0.1623609408067842,58.0,58.0,0.0,613800.0,613800.0,0.0,3.0,3.0,0.0
32,0.19767439657907554,0.0,0.3934952379160678,0.4171877856785638,0.1865866730444109,0.4358379526680292,0.05943299715215013,0.0,0.15088554876362734,61.0,61.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
33,0.26714576735657775,0.0,0.4388109210138202,0.5219530680100919,0.6156830456958161,0.43266350158508826,0.07354069868214574,0.0,0.1524918071094594,61.0,61.0,0.0,594000.0,594000.0,0.0,2.0,2.0,0.0
34,0.2566319986170431,0.0,0.4328926498158913,0.48165840277469985,0.44863714400218424,0.4328220468757419,0.05484402969259775,0.0,0.13029769279516437,59.0,59.0,0.0,633600.0,633600.0,0.0,2.0,2.0,0.0
35,0.26848673124937883,0.0,0.4381954559623851,0.45450193433418024,0.31147870621559043,0.44210192004393367,0.03607922555724136,0.0,0.11415234197021051,67.0,67.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
36,0.22672532792067282,0.0,0.415005316647231,0.4337251952700226,0.3175903402552971,0.41664937924201173,0.0484687287196636,0.0,0.1137208516000471,60.0,60.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
37,0.22657458893229943,0.0,0.41473126300335816,0.43454584615835107,0.2817903451204471,0.42998454636303074,0.05152985433578902,0.0,0.12033828730911819,59.0,59.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
38,0.2088850549930957,0.0,0.40132366747403125,0.545880116093565,0.6942825134202797,0.41878058771751414,0.11151832111336629,0.0053366819281262905,0.18353644179905132,60.0,60.0,0.0,594000.0,594000.0,0.0,2.0,2.0,0.0
39,0.2567271901433697,0.0,0.4330882211958064,0.540117342818554,0.6755073587699413,0.4245531025787711,0.07580961933133612,0.0018783204074537846,0.14880079825866413,63.0,63.0,0.0,613800.0,613800.0,0.0,3.0,3.0,0.0
40,0.2275637822239469,0.0,0.41495298573609574,0.4581950307762149,0.32158223928088003,0.43147899365235015,0.04563902368679449,0.0,0.12794314841719642,70.0,70.0,0.0,584100.0,584100.0,0.0,2.0,2.0,0.0
41,0.26827915265541985,0.0,0.43837598062392213,0.495921235790936,0.5424265329966294,0.43794018248501604,0.05548296885236648,0.0,0.1235410860255317,65.0,65.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
42,0.23883877332862108,0.0,0.42190288665598824,0.4812234181014041,0.4161594767690774,0.42317815869211856,0.048023427216986464,0.001101282861392167,0.10922936508920726,69.0,69.0,0.0,623700.0,623700.0,0.0,3.0,3.0,0.0
43,0.26837606703993894,0.0,0.43864973525079765,0.5250318349176394,0.6604376078637241,0.44247868771201154,0.07066396915445318,0.0,0.15098918793730795,58.0,58.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
44,0.20705921793769927,0.0,0.40092294900380226,0.40865696284024483,0.22783882588777837,0.4241976030359202,0.040358162459992575,0.0,0.10337500894720475,64.0,64.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
45,0.23681265854023215,0.0,0.42141239494028976,0.47282656198970113,0.4546522506716714,0.43705589000562184,0.05359876851373831,0.0,0.1156741099019739,65.0,65.0,0.0,574200.0,574200.0,0.0,3.0,3.0,0.0
46,0.25711306259021366,0.0,0.4328187024735546,0.4939537517785006,0.47634265056248215,0.4384825895330202,0.06210228416986224,0.0,0.1418702058217362,63.0,63.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
47,0.24621957434767552,0.0,0.42711577851384464,0.48562311722747203,0.499311425916223,0.44573266027065755,0.07406504565856073,0.0,0.15887546598795954,58.0,58.0,0.0,633600.0,633600.0,0.0,2.0,2.0,0.0
48,0.23751768820447583,0.0,0.42130231663272405,0.4484962636899969,0.3273185330629746,0.43279413531863364,0.0460345229702134,0.0,0.11048979333991553,68.0,68.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
49,0.22768257304344458,0.0,0.41510656763282766,0.45890574510461174,0.36441166966439575,0.42878652926325755,0.0585996965371073,0.0,0.13671709899356999,65.0,65.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
