,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
274,0.0,0.22215099024592544,0.2802171179380757,62,574200,3
275,0.0,0.8145536309017266,0.2802171179380758,62,574200,3
276,0.0,0.0,0.0,62,574200,3
277,1.0,1.0,0.0,62,574200,3
278,0.0,0.03643433308069166,0.014888845346310573,62,574200,3
279,0.0,0.2003888319438043,0.014888845346310572,62,574200,3
280,0.0,0.0,0.0,62,574200,3
281,1.0,1.0,0.0,62,574200,3
282,0.0,0.06594407966794147,0.2770092402721782,62,574200,3
283,0.0,0.725384876347356,0.2770092402721783,62,574200,3
284,0.0,0.977543325152389,0.2663709195999633,62,574200,3
285,0.0,0.448040690694845,0.2663709195999633,62,574200,3
286,0.0,0.8804997027287846,0.6210819644679035,62,574200,3
287,0.0,0.9685496730016632,0.6210819644679035,62,574200,3
288,0.0,0.0,0.0,62,574200,3
289,1.0,1.0,0.0,62,574200,3
290,0.0,0.6106626764096068,0.36924769685267467,62,574200,3
291,0.0,0.7463654933895196,0.36924769685267483,62,574200,3
292,0.0,0.8827299978009613,0.32589305284470454,62,574200,3
293,0.0,0.5711782338712104,0.32589305284470477,62,574200,3
294,0.0,0.8922734698452982,0.31152930363876125,62,574200,3
295,0.0,0.5608576096170446,0.31152930363876136,62,574200,3
296,0.0,0.941994154069027,0.4184082782811047,62,574200,3
297,0.0,0.7401382639113783,0.4184082782811046,62,574200,3
298,0.0,0.9610651363761422,0.2695619492698001,62,574200,3
299,0.0,0.5421393076993622,0.26956194926980026,62,574200,3
300,0.0,0.6133029434878754,0.5060540851949882,62,574200,3
301,0.0,0.9637617683380899,0.5060540851949882,62,574200,3
302,0.0,0.9886759094306445,0.7523835325736586,62,574200,3
303,0.0,0.9456900003249643,0.7523835325736586,62,574200,3
304,0.0,0.9813660750276473,0.34213382361432854,62,574200,3
305,0.0,0.5835149635299524,0.3421338236143285,62,574200,3
306,0.0,0.9740704958701696,0.4683379922155757,62,574200,3
307,0.0,0.649380330580113,0.46833799221557537,62,574200,3
308,0.0,0.04330073618091845,0.1943455374752215,62,574200,3
309,0.0,0.9526161959802045,0.1943455374752215,62,574200,3
310,0.0,0.3177893886851145,0.24471386312236926,62,574200,3
311,0.0,0.6355787773702288,0.2447138631223693,62,574200,3
312,0.0,0.9530994132856502,0.7778666935905955,62,574200,3
313,0.0,0.9984850996325859,0.7778666935905955,62,574200,3
314,0.0,0.31316488852648783,0.31668408416217797,62,574200,3
315,0.0,0.8612034434478413,0.31668408416217797,62,574200,3
316,0.0,0.3091753493965974,0.3095495180371396,62,574200,3
317,0.0,0.8502322108406425,0.3095495180371396,62,574200,3
318,0.0,0.32625317660701114,0.2860107692315404,62,574200,3
319,0.0,0.7177569885354242,0.2860107692315404,62,574200,3
320,0.0,0.3356089955929604,0.22409636583207923,62,574200,3
321,0.0,0.5273855645032233,0.22409636583207931,62,574200,3
322,0.0,0.977543325152389,0.2578534347608374,62,574200,3
323,0.0,0.47791007007450126,0.25785343476083744,62,574200,3
324,0.0,0.9523134766935464,0.6142067512171528,62,574200,3
325,0.0,0.9523134766935464,0.6142067512171526,62,574200,3
326,0.0,0.0,0.0,62,574200,3
327,1.0,1.0,0.0,62,574200,3
328,0.0,0.0,0.0,62,574200,3
329,1.0,1.0,0.0,62,574200,3
330,0.0,0.9523134766935464,0.5539429918506692,62,574200,3
331,0.0,0.9109085429242618,0.5539429918506691,62,574200,3
332,0.0,0.9523134766935464,0.5127192737305599,62,574200,3
333,0.0,0.8380358594903208,0.51271927373056,62,574200,3
334,0.0,0.03643433308069166,0.010849767949092865,62,574200,3
335,0.0,0.13359255462920283,0.010849767949092867,62,574200,3
336,0.0,0.6640908081919616,0.4219299544179531,62,574200,3
337,0.0,0.9131248612639473,0.42192995441795333,62,574200,3
338,0.0,0.6925542063511295,0.31702604849183397,62,574200,3
339,0.0,0.7255329780821357,0.3170260484918341,62,574200,3
340,0.0,0.07851223539531704,0.017391894814371384,62,574200,3
341,0.0,0.8636345893484878,0.017391894814371384,62,574200,3
342,0.0,0.9772673397748883,0.5352352254569235,62,574200,3
343,0.0,0.6935445637112111,0.5352352254569235,62,574200,3
344,0.0,0.5259503774228271,0.45738901189707637,62,574200,3
345,0.0,0.9642423586085164,0.4573890118970765,62,574200,3
346,0.0,0.12099986488775827,0.31692850033557524,62,574200,3
347,0.0,0.8873323425102264,0.31692850033557524,62,574200,3
348,0.0,0.04044762296881643,0.005198844768474181,62,574200,3
349,0.0,0.889847705313962,0.005198844768474181,62,574200,3
350,0.0,0.03643433308069166,0.013529108050926988,62,574200,3
351,0.0,0.2671851092584058,0.013529108050926988,62,574200,3
352,0.0,0.0,0.0,62,574200,3
353,1.0,1.0,0.0,62,574200,3
354,0.0,0.0,0.0,62,574200,3
355,1.0,1.0,0.0,62,574200,3
356,0.0,0.03643433308069166,0.013347895033703828,62,574200,3
357,0.0,0.16031106555504349,0.013347895033703828,62,574200,3
358,0.0,0.0,0.0,62,574200,3
359,1.0,1.0,0.0,62,574200,3
360,0.0,0.0,0.0,62,574200,3
361,1.0,1.0,0.0,62,574200,3
362,0.0,0.0,0.0,62,574200,3
363,1.0,1.0,0.0,62,574200,3
364,0.0,0.7211000256435265,0.45468452322622777,62,574200,3
365,0.0,0.9331882684798578,0.45468452322622777,62,574200,3
366,0.0,0.6925542063511295,0.2702394456293014,62,574200,3
367,0.0,0.6925542063511295,0.2702394456293015,62,574200,3
368,0.0,0.0,0.0,62,574200,3
369,1.0,1.0,0.0,62,574200,3
370,0.0,0.0,0.0,62,574200,3
371,1.0,1.0,0.0,62,574200,3
372,0.0,0.977543325152389,0.2879718066146757,62,574200,3
373,0.0,0.448040690694845,0.28797180661467575,62,574200,3
374,0.0,0.0,0.0,62,574200,3
375,1.0,1.0,0.0,62,574200,3
376,0.0,0.9669124454747459,0.36072920877703046,62,574200,3
377,0.0,0.6446082969831639,0.36072920877703046,62,574200,3
378,0.0,0.0,0.0,62,574200,3
379,1.0,1.0,0.0,62,574200,3
380,0.0,0.8443541702723645,0.5079318284866542,62,574200,3
381,0.0,0.9287895872996008,0.5079318284866544,62,574200,3
382,0.0,0.0416152219684196,0.008827423038675423,62,574200,3
383,0.0,0.45776744165261507,0.008827423038675423,62,574200,3
384,0.0,0.977543325152389,0.27554105563160836,62,574200,3
385,0.0,0.4575734713479267,0.2755410556316084,62,574200,3
386,0.0,0.013032306774266478,0.014646339606920857,62,574200,3
387,0.0,0.2867107490338624,0.014646339606920852,62,574200,3
388,0.0,0.0,0.0,62,574200,3
389,1.0,1.0,0.0,62,574200,3
390,0.0,0.0,0.0,62,574200,3
391,1.0,1.0,0.0,62,574200,3
392,0.0,0.9524663913725762,0.7707632738929371,62,574200,3
393,0.0,0.9978219338188894,0.7707632738929371,62,574200,3
394,0.0,0.8273817933710541,0.4798046524197783,62,574200,3
395,0.0,0.7660942531213464,0.4798046524197781,62,574200,3
396,0.27688678777388576,0.9555527542642536,0.45997639417470915,62,574200,3
397,0.27688678777388576,0.8531721020216549,0.459976394174709,62,574200,3
398,0.0,0.039512446032471504,0.09215869410103378,62,574200,3
399,0.0,0.9878111508117857,0.09215869410103379,62,574200,3
400,0.0,0.0,0.0,62,574200,3
401,1.0,1.0,0.0,62,574200,3
402,0.0,0.8054625769451649,0.31544436595335124,62,574200,3
403,0.0,0.5922518948126212,0.31544436595335146,62,574200,3
404,0.0,0.9277941293513512,0.41913179631210007,62,574200,3
405,0.0,0.7482210720575413,0.41913179631210007,62,574200,3
406,0.0,0.8273817933710541,0.4883158726674082,62,574200,3
407,0.0,0.7955594167029365,0.48831587266740806,62,574200,3
408,0.0,0.9543658343622206,0.6256621551163872,62,574200,3
409,0.0,0.8227291675536383,0.6256621551163871,62,574200,3
410,0.0,0.954608701494421,0.46489351726491945,62,574200,3
411,0.0,0.7231884102230461,0.46489351726491945,62,574200,3
412,0.0,0.8620016139234641,0.6176206408855747,62,574200,3
413,0.0,0.9369582760037654,0.6176206408855747,62,574200,3
414,0.0,0.46994551833654996,0.3773500018047924,62,574200,3
415,0.0,0.9037413814164421,0.3773500018047924,62,574200,3
416,0.0,0.6834272879262654,0.5179174536323082,62,574200,3
417,0.0,0.9492045665642576,0.5179174536323082,62,574200,3
418,0.0,0.8054625769451649,0.36802081317169894,62,574200,3
419,0.0,0.62926763823841,0.3680208131716992,62,574200,3
420,0.0,0.0,0.0,62,574200,3
421,1.0,1.0,0.0,62,574200,3
422,0.25637612393810716,0.9472923640010232,0.5546255774643334,62,574200,3
423,0.25637612393810716,0.7894103033341859,0.5546255774643332,62,574200,3
424,0.17377636242081929,0.020853163490498372,0.037750647606180604,62,574200,3
425,0.521329087262458,0.521329087262458,0.037750647606180604,62,574200,3
426,0.0,0.0,0.0,62,574200,3
427,1.0,1.0,0.0,62,574200,3
428,0.0,0.9543658343622206,0.30382897294604366,62,574200,3
429,0.0,0.5186770838925112,0.30382897294604355,62,574200,3
430,0.0,0.0,0.0,62,574200,3
431,1.0,1.0,0.0,62,574200,3
432,0.0,0.9946184139044705,0.7810587136858046,62,574200,3
433,0.0,0.9563638595235293,0.7810587136858045,62,574200,3
434,0.0,0.7479941066730775,0.6826266223357563,62,574200,3
435,0.0,0.98420277193826,0.6826266223357565,62,574200,3
436,0.0,0.6120846236824823,0.4134100147046778,62,574200,3
437,0.0,0.7651057796031029,0.4134100147046779,62,574200,3
438,0.0,0.912244688862408,0.4024574486139702,62,574200,3
439,0.0,0.63350325615445,0.4024574486139704,62,574200,3
440,0.0,0.9222192334666838,0.39594609644697554,62,574200,3
441,0.0,0.6231211036937053,0.39594609644697565,62,574200,3
442,0.0,0.41814618979501217,0.3728481961251367,62,574200,3
443,0.0,0.9503322495341184,0.3728481961251368,62,574200,3
444,0.0,0.0,0.0,62,574200,3
445,1.0,1.0,0.0,62,574200,3
446,0.0,0.04934868618553634,0.12482011684377592,62,574200,3
447,0.0,0.6168585773192042,0.12482011684377592,62,574200,3
448,0.0,0.35068509640266765,0.3055385050917432,62,574200,3
449,0.0,0.8767127410066691,0.30553850509174313,62,574200,3
450,0.0,0.0,0.0,62,574200,3
451,0.0,0.0,0.0,62,574200,3
452,0.0,0.0,0.0,62,574200,3
453,0.0,0.0,0.0,62,574200,3
454,0.0,0.8054625769451649,0.33153506228486895,62,574200,3
455,0.0,0.6495665943106168,0.3315350622848692,62,574200,3
456,0.0,0.7988035506244126,0.26159276404851006,62,574200,3
457,0.0,0.5397321288002788,0.26159276404851034,62,574200,3
458,0.0,0.2983725313282787,0.1933640181241206,62,574200,3
459,0.0,0.4972875522137976,0.1933640181241206,62,574200,3
